no,area_name,color,text_color,icon,memo,visible
1,鴨川市,#87BCE1,#603B32,,,
2,館山市,#E99B9D,#603B32,,,
3,南房総市,#ECDE6C,#603B32,,,
4,鋸南町,#D2DF95,#603B32,,,
5,勝浦市,#dbd0e6,#603B32,,,
6,いすみ市,#dbd0e6,#603B32,,,
7,御宿町,#dbd0e6,#603B32,,,
